question,source,category,problem_id,correct_answer,incorrect_answer,unique_id
"A bell circuit consists of 150 feet of No. 18 wire which has a resistance of 1 ohm, a bell which has a resistance of 5 ohms, and a battery of two dry cells, each having an emf of 1.5 volts. What is the current through the circuit, assuming that the resistance of the battery is negligible?",mmlu_pro,physics,9501,0.5 amp,2 amps,938
"An athlete whirls a discus in a circle of radius 80.0 cm. At a certain instant, the athlete is rotating at 10.0 rad / s and the angular speed is increasing at 50.0 rad / s^2. At this instant, find the magnitude (Unit: m / s^2) of the acceleration. Return the numeric value.",mmlu_pro,physics,9329,89.4,82.5,939
From laboratory measurements we know that a particular spectral line formed by hydrogen appears at a wavelength of 486.1 nanometers (nm). The spectrum of a particular star shows the same hydrogen line appearing at a wavelength of 485.9 nm. What can we conclude?,mmlu_pro,physics,9253,The star is moving toward us.,The star is getting colder.,940
The equation E = mc^2 indicates that energy,mmlu_pro,physics,10169,and mass are closely related.,equals mass multiplied by the speed of light.,941
"Given that the spacing between vibrational energy levels of the HCl molecule is 0.36 eV, calculate the effective force constant in N/m.",mmlu_pro,physics,9222,490.0,600.0,942
"A spring is mounted horizontally, with its left end fixed. A spring balance attached to the free end and pulled toward the right indicates that the stretching force is proportional to the displacement, and a force of 6.0 N causes a displacement of 0.030 m. We replace the spring balance with a 0.50-kg glider, pull it 0.020 m to the right along a frictionless air track, and release it from rest. Find the period T of the resulting oscillation. (Unit: s)",mmlu_pro,physics,10265,0.31,0.20,943
A baseball pitcher throws a ball weighing 1/3 pound with an acceleration of 480 feet per second^2. How much force does he apply to the ball?,mmlu_pro,physics,9911,5 lbs. of force,3 lbs. of force,944
"It is known that a lab cart is moving east at 25 cm/s at time t1 = 0.10 s, and then moving east at 15 cm/s at t2 = 0.20 s. Is this enough information to determine the direction of the net force acting on the cart between t1 and t2?",mmlu_pro,physics,9109,"Yes, since we know the cart is slowing down, its momentum change is opposite the direction of movement, and the net force is in the direction of momentum change.","Yes, since we know the cart keeps moving to the east, the net force must be in the direction of motion.",945
Each of the following ionized isotopes is projected with the same speed into a uniform magnetic field B such that the isotope's initial velocity is perpendicular to B. Which combination of mass and charge would result in a circular path with the largest radius?,mmlu_pro,physics,9105,"m = 20 u, q = –1 e","m = 22 u, q = –2 e",946
"How much work is required to turn an electric dipole $180^{\circ}$ in a uniform electric field of magnitude $E=46.0 \mathrm{~N} / \mathrm{C}$ if the dipole moment has a magnitude of $p=3.02 \times$ $10^{-25} \mathrm{C} \cdot \mathrm{m}$ and the initial angle is $64^{\circ} ?$
",mmlu_pro,physics,9235,$1.22$$10^{-23} \mathrm{~J}$ ,$7.32 \times 10^{-23} \mathrm{~J}$,947
"The partial molar volumes of water and ethanol in a solution with $x_{\mathrm{H}_2 \mathrm{O}}=0.45$ at $25^{\circ} \mathrm{C}$ are 17.0 and $57.5 \mathrm{~cm}^3 \mathrm{~mol}^{-1}$, respectively. Calculate the volume change upon mixing sufficient ethanol with $3.75 \mathrm{~mol}$ of water to give this concentration. The densities of water and ethanol are 0.997 and $0.7893 \mathrm{~g} \mathrm{~cm}^{-3}$, respectively, at this temperature.",mmlu_pro,physics,9491,-8 $\mathrm{~cm}^3$,2 $\mathrm{~cm}^3$,948
